route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
5552_130206,7778019,6,Howth Dart Stn - Lower Abbey Street,,3,,,
5552_130207,7778019,13,Grange Castle - Harristown,,3,,,
5552_130208,7778019,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),,3,,,
5552_130209,7778019,15,Ballycullen Road - Clongriffin,,3,,,
5552_130210,7778019,16,Ballinteer - Dublin Airport,,3,,,
5552_130211,7778019,19,Parnell Square West - Dublin Airport,,3,,,
5552_130212,7778019,23,Merrion Square - Charlestown SC,,3,,,
5552_130213,7778019,24,Merrion Square - Dublin Airport,,3,,,
5552_130214,7778019,27,Jobstown - Clare Hall,,3,,,
5552_130215,7778019,33,Balbriggan - Lower Abbey St,,3,,,
5552_130216,7778019,37,Blanchardstown Shopping Centre - Wilton Terrace,,3,,,
5552_130217,7778019,38,Damastown - Burlington Road,,3,,,
5552_130218,7778019,39,Ongar - Burlington Rd,,3,,,
5552_130219,7778019,41,Swords Manor - Lower Abbey Street,,3,,,
5552_130220,7778019,42,Sand's Hotel Portmarnock - Eden Quay,,3,,,
5552_130221,7778019,43,Talbot Street - Swords Business Park,,3,,,
5552_130222,7778019,44,Enniskerry - DCU,,3,,,
5552_130223,7778019,47,Poolbeg Street - Belarmine,,3,,,
5552_130224,7778019,52,Intel - Ringsend,,3,,,
5552_130225,7778019,53,Dublin Ferryport - Talbot St,,3,,,
5552_130226,7778019,56A,Tallaght - Ringsend Rd,,3,,,
5552_130227,7778019,60,Forbes Street - Tallaght,,3,,,
5552_130228,7778019,65,Poolbeg Street - Blessington/Ballymore,,3,,,
5552_130229,7778019,68,Newcastle / Greenogue Business Pk - Hawkins St,,3,,,
5552_130230,7778019,69,Rathcoole - Hawkins St,,3,,,
5552_130231,7778019,70,Dunboyne - Burlington Rd,,3,,,
5552_130232,7778019,74,Dundrum Luas - Eden Quay,,3,,,
5552_130233,7778019,77A,Citywest - Ringsend,,3,,,
5552_130234,7778019,80,Liffey Valley SC - Palmerston Park,,3,,,
5552_130235,7778019,82,Irishtown - Kiltipper,,3,,,
5552_130236,7778019,99,Phoenix Park - Phoenix Park,,3,,,
5552_130237,7778019,116,Whitechurch - Parnell Square,,3,,,
5552_130238,7778019,118,Kilternan - Eden Quay,,3,,,
5552_130239,7778019,120,Ashtown Station - Parnell St,,3,,,
5552_130240,7778019,122,Drimnagh - Ashington,,3,,,
