route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
5552_130218,123,5552_10002,Ongar,5906,0,5552_7778195_7039011,5552_224
5552_130218,123,5552_10006,Ongar,5828,0,5552_7778195_7039015,5552_224
5552_130218,123,5552_10010,Ongar,5820,0,5552_7778195_7039007,5552_224
5552_130218,123,5552_10014,Ongar,5970,0,5552_7778195_7039019,5552_224
5552_130218,123,5552_10018,Ongar,5692,0,5552_7778195_7039022,5552_224
5552_130218,123,5552_10024,Ongar,5884,0,5552_7778195_7039028,5552_224
5552_130218,123,5552_10030,Ongar,6007,0,5552_7778195_7039010,5552_224
5552_130218,123,5552_10034,Ongar,6016,0,5552_7778195_7039014,5552_224
5552_130218,123,5552_10038,Ongar,6024,0,5552_7778195_7039017,5552_224
5552_130218,123,5552_10042,Ongar,5908,0,5552_7778195_7039011,5552_224
5552_130218,123,5552_10046,Ongar,5830,0,5552_7778195_7039015,5552_224
5552_130218,123,5552_10052,Ongar,5822,0,5552_7778195_7039007,5552_225
5552_130218,123,5552_10056,Ongar,5972,0,5552_7778195_7039019,5552_225
5552_130239,123,5552_1006,Ashtown Stn,3699,0,5552_7778195_5120002,5552_24
5552_130218,123,5552_10060,Ongar,5886,0,5552_7778195_7039028,5552_225
5552_130218,123,5552_10063,Ongar,6009,0,5552_7778195_7039010,5552_225
5552_130218,123,5552_10068,Ongar,6018,0,5552_7778195_7039014,5552_225
5552_130218,123,5552_10072,Ongar,5910,0,5552_7778195_7039011,5552_225
5552_130218,123,5552_10074,Ongar,5832,0,5552_7778195_7039015,5552_224
5552_130218,189,5552_10076,Ongar,26990,0,5552_7778195_7039013,5552_225
5552_130218,123,5552_10082,Burlington Road,5815,1,5552_7778195_7039007,5552_226
5552_130218,123,5552_10085,Burlington Road,6002,1,5552_7778195_7039010,5552_226
5552_130218,123,5552_10090,Burlington Road,6011,1,5552_7778195_7039014,5552_226
5552_130218,123,5552_10095,Burlington Road,6019,1,5552_7778195_7039017,5552_226
5552_130218,123,5552_10103,Burlington Road,5903,1,5552_7778195_7039011,5552_226
5552_130218,123,5552_10107,Burlington Road,5825,1,5552_7778195_7039015,5552_226
5552_130218,123,5552_10113,Burlington Road,5817,1,5552_7778195_7039007,5552_226
5552_130218,123,5552_10117,Burlington Road,5967,1,5552_7778195_7039019,5552_226
5552_130218,123,5552_10121,Burlington Road,5689,1,5552_7778195_7039022,5552_226
5552_130218,123,5552_10125,Burlington Road,6004,1,5552_7778195_7039010,5552_226
5552_130218,123,5552_10129,Burlington Road,6013,1,5552_7778195_7039014,5552_226
5552_130218,123,5552_10133,Burlington Road,6021,1,5552_7778195_7039017,5552_226
5552_130218,123,5552_10137,Burlington Road,5905,1,5552_7778195_7039011,5552_226
5552_130239,123,5552_1014,Ashtown Stn,3627,0,5552_7778195_5120003,5552_24
5552_130218,123,5552_10141,Burlington Road,5827,1,5552_7778195_7039015,5552_226
5552_130218,123,5552_10145,Burlington Road,5819,1,5552_7778195_7039007,5552_226
5552_130218,123,5552_10149,Burlington Road,5969,1,5552_7778195_7039019,5552_226
5552_130218,123,5552_10153,Burlington Road,5691,1,5552_7778195_7039022,5552_226
5552_130218,123,5552_10157,Burlington Road,5883,1,5552_7778195_7039028,5552_226
5552_130218,123,5552_10161,Burlington Road,6006,1,5552_7778195_7039010,5552_226
5552_130218,123,5552_10165,Burlington Road,6015,1,5552_7778195_7039014,5552_226
5552_130218,123,5552_10169,Burlington Road,6023,1,5552_7778195_7039017,5552_226
5552_130218,123,5552_10173,Burlington Road,5907,1,5552_7778195_7039011,5552_226
5552_130218,123,5552_10177,Burlington Road,5829,1,5552_7778195_7039015,5552_226
5552_130239,123,5552_1018,Ashtown Stn,3564,0,5552_7778195_5120001,5552_24
5552_130218,123,5552_10181,Burlington Road,5821,1,5552_7778195_7039007,5552_226
5552_130218,123,5552_10185,Burlington Road,5971,1,5552_7778195_7039019,5552_226
5552_130218,123,5552_10189,Burlington Road,5693,1,5552_7778195_7039022,5552_226
5552_130218,123,5552_10193,Burlington Road,5885,1,5552_7778195_7039028,5552_226
5552_130218,123,5552_10197,Burlington Road,6008,1,5552_7778195_7039010,5552_226
5552_130218,123,5552_10201,Burlington Road,6017,1,5552_7778195_7039014,5552_226
5552_130218,123,5552_10205,Burlington Road,5909,1,5552_7778195_7039011,5552_226
5552_130218,123,5552_10209,Burlington Road,5831,1,5552_7778195_7039015,5552_226
5552_130218,123,5552_10213,Burlington Road,5911,1,5552_7778195_7039033,5552_226
