route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
5242_118188,93,5242_2580,Tallaght,191.Sat.93-RED-y11-1,0,5242_7778148_Txc109521,5242_20
5242_118188,92,5242_2581,Tallaght,191.gf.93-RED-y11-16,0,5242_7778148_Txc109523,5242_20
5242_118188,91,5242_2588,Tallaght,266.MF-BH.93-RED-y11,0,5242_7778148_Txc109852,5242_19
5242_118188,91,5242_2589,Tallaght,256.MF-BH.93-RED-y11,0,5242_7778148_Txc109808,5242_20
5242_119680,92,5242_259,Brides Glen,158.gf.93-GRN-y11-16,0,5242_7778148_Txc104870,5242_5
5242_118188,91,5242_2590,Saggart,265.MF-BH.93-RED-y11,0,5242_7778148_Txc109848,5242_24
5242_118188,91,5242_2591,Saggart,267.MF-BH.93-RED-y11,0,5242_7778148_Txc109856,5242_25
5242_118188,93,5242_2592,Saggart,193.Sat.93-RED-y11-1,0,5242_7778148_Txc109529,5242_22
5242_118188,92,5242_2593,Saggart,193.gf.93-RED-y11-16,0,5242_7778148_Txc109531,5242_22
5242_118188,91,5242_2597,Tallaght,259.MF-BH.93-RED-y11,0,5242_7778148_Txc109820,5242_20
5242_118188,94,5242_2598,Tallaght,197.SuBH.93-RED-y11-,0,5242_7778148_Txc109546,5242_19
5242_118188,93,5242_2599,Tallaght,199.Sat.93-RED-y11-1,0,5242_7778148_Txc109553,5242_19
5242_119680,91,5242_260,Sandyford,254.MF-BH.93-GRN-y11,0,5242_7778148_Txc105200,5242_4
5242_118188,92,5242_2600,Tallaght,199.gf.93-RED-y11-16,0,5242_7778148_Txc109555,5242_36
5242_118188,91,5242_2607,Saggart,269.MF-BH.93-RED-y11,0,5242_7778148_Txc109864,5242_25
5242_118188,94,5242_2608,Saggart,192.SuBH.93-RED-y11-,0,5242_7778148_Txc109526,5242_21
5242_118188,91,5242_2609,Tallaght,268.MF-BH.93-RED-y11,0,5242_7778148_Txc109860,5242_26
5242_118188,91,5242_2613,Tallaght,270.MF-BH.93-RED-y11,0,5242_7778148_Txc109872,5242_19
5242_118188,94,5242_2614,Saggart,193.SuBH.93-RED-y11-,0,5242_7778148_Txc109530,5242_22
5242_118188,94,5242_2618,Tallaght,200.SuBH.93-RED-y11-,0,5242_7778148_Txc109566,5242_19
5242_118188,93,5242_2619,Tallaght,201.Sat.93-RED-y11-1,0,5242_7778148_Txc109569,5242_19
5242_118188,92,5242_2620,Tallaght,201.gf.93-RED-y11-16,0,5242_7778148_Txc109571,5242_36
5242_118188,94,5242_2627,Tallaght,194.SuBH.93-RED-y11-,0,5242_7778148_Txc109534,5242_20
5242_118188,93,5242_2628,Saggart,195.Sat.93-RED-y11-1,0,5242_7778148_Txc109537,5242_22
5242_118188,92,5242_2629,Saggart,195.gf.93-RED-y11-16,0,5242_7778148_Txc109539,5242_22
5242_118188,91,5242_2636,Tallaght,272.MF-BH.93-RED-y11,0,5242_7778148_Txc109880,5242_19
5242_118188,91,5242_2637,Saggart,271.MF-BH.93-RED-y11,0,5242_7778148_Txc109876,5242_24
5242_118188,91,5242_2638,Saggart,274.MF-BH.93-RED-y11,0,5242_7778148_Txc109888,5242_25
5242_118188,94,5242_2639,Saggart,196.SuBH.93-RED-y11-,0,5242_7778148_Txc109542,5242_22
5242_119680,91,5242_264,Brides Glen,253.MF-BH.93-GRN-y11,0,5242_7778148_Txc105197,5242_5
