epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.915,1.18647,0.59396,0.94642,0.8754,0.83301,0.9116,0.57052,1.22642,0.64475,0.95446,0.00332534,0.00332534,0.00332534
2,245.865,1.20515,0.61186,0.95226,0.89046,0.81677,0.90714,0.56058,1.26388,0.6939,0.97177,0.00665861,0.00665861,0.00665861
3,368.002,1.25032,0.65283,0.96532,0.86303,0.79281,0.88095,0.53455,1.29798,0.77424,0.98619,0.00999162,0.00999162,0.00999162
4,488.16,1.27642,0.68624,0.97422,0.87719,0.77199,0.8781,0.52643,1.32088,0.78128,0.99545,0.00999912,0.00999912,0.00999912
5,608.323,1.29617,0.6977,0.9816,0.87163,0.78199,0.8792,0.5289,1.31354,0.76726,1.00411,0.00999844,0.00999844,0.00999844
6,729.355,1.29176,0.69413,0.98099,0.85992,0.82084,0.8962,0.54,1.28666,0.76655,0.98033,0.00999756,0.00999756,0.00999756
7,850.6,1.28728,0.69349,0.98002,0.86598,0.79301,0.88041,0.52031,1.33704,1.1083,0.99169,0.00999648,0.00999648,0.00999648
8,970.935,1.29044,0.69571,0.97777,0.85945,0.80817,0.88932,0.53999,1.28515,0.75393,0.98383,0.00999521,0.00999521,0.00999521
9,1092.08,1.28511,0.68912,0.97674,0.87685,0.78358,0.88191,0.53048,1.3292,0.85315,0.99675,0.00999375,0.00999375,0.00999375
10,1212.23,1.2965,0.6956,0.97963,0.86493,0.80677,0.89184,0.53017,1.30442,0.76118,0.98176,0.00999209,0.00999209,0.00999209
11,1331.82,1.2903,0.69235,0.97723,0.8703,0.80388,0.88958,0.53678,1.27871,0.80333,0.97557,0.00999023,0.00999023,0.00999023
12,1451.54,1.29161,0.69054,0.97517,0.87375,0.80275,0.89052,0.53738,1.28246,0.74483,0.97961,0.00998818,0.00998818,0.00998818
13,1570.41,1.27742,0.68153,0.97386,0.87972,0.80198,0.89483,0.53906,1.298,0.73408,0.97582,0.00998594,0.00998594,0.00998594
14,1690.15,1.27847,0.68891,0.97454,0.87835,0.81478,0.89989,0.55188,1.26505,0.7089,0.97043,0.0099835,0.0099835,0.0099835
15,1808.54,1.28688,0.69455,0.97653,0.87056,0.80955,0.89746,0.55172,1.27482,0.70566,0.97423,0.00998086,0.00998086,0.00998086
16,1929.28,1.27591,0.68032,0.97558,0.87735,0.80059,0.89139,0.54662,1.27297,0.7426,0.97473,0.00997803,0.00997803,0.00997803
17,2050.38,1.27748,0.68415,0.97762,0.86174,0.82053,0.8959,0.54398,1.27179,0.74232,0.97622,0.00997501,0.00997501,0.00997501
18,2171.69,1.27614,0.6838,0.97569,0.88314,0.81234,0.89999,0.5436,1.29668,0.70354,0.97883,0.00997179,0.00997179,0.00997179
19,2292.94,1.27389,0.68115,0.97264,0.87375,0.81739,0.89398,0.54275,1.27306,0.78014,0.97533,0.00996838,0.00996838,0.00996838
20,2414.39,1.28196,0.6848,0.97216,0.8585,0.80863,0.88839,0.54363,1.29916,0.73018,0.98665,0.00996477,0.00996477,0.00996477
21,2533.69,1.26486,0.67767,0.96901,0.88217,0.81012,0.89701,0.54849,1.27033,0.70316,0.97466,0.00996097,0.00996097,0.00996097
22,2653.39,1.27004,0.67796,0.97002,0.87869,0.81002,0.90001,0.55544,1.26788,0.70744,0.97799,0.00995697,0.00995697,0.00995697
23,2774.11,1.26505,0.67495,0.96716,0.88638,0.80723,0.89976,0.55383,1.27734,0.73234,0.97672,0.00995278,0.00995278,0.00995278
24,2893.18,1.2636,0.67384,0.96828,0.87501,0.81921,0.89965,0.55137,1.27271,0.69954,0.97272,0.0099484,0.0099484,0.0099484
25,3013.39,1.26414,0.67155,0.96807,0.86787,0.81806,0.89697,0.55109,1.26697,0.75721,0.979,0.00994383,0.00994383,0.00994383
26,3133.47,1.26489,0.67247,0.9682,0.88411,0.8077,0.89649,0.55128,1.25562,0.70755,0.96992,0.00993906,0.00993906,0.00993906
27,3253.93,1.26115,0.66754,0.97001,0.87162,0.8197,0.89694,0.55736,1.26549,0.72459,0.97307,0.0099341,0.0099341,0.0099341
28,3373.1,1.24696,0.66036,0.96482,0.87544,0.83545,0.90718,0.55248,1.2685,0.6692,0.97667,0.00992894,0.00992894,0.00992894
29,3494.62,1.26162,0.66764,0.96608,0.87612,0.8196,0.90106,0.55466,1.25783,0.69244,0.97122,0.00992359,0.00992359,0.00992359
30,3615.53,1.25269,0.66151,0.96564,0.87566,0.81264,0.89911,0.55099,1.24033,0.70032,0.97044,0.00991805,0.00991805,0.00991805
31,3735.53,1.2575,0.66736,0.96274,0.8841,0.82779,0.90929,0.55826,1.25449,0.69236,0.97039,0.00991232,0.00991232,0.00991232
32,3855.65,1.25554,0.6635,0.96523,0.8803,0.82878,0.90657,0.56215,1.2272,0.6643,0.96095,0.0099064,0.0099064,0.0099064
33,3974.29,1.25251,0.66335,0.96737,0.87167,0.82426,0.90305,0.55771,1.25968,0.70298,0.97629,0.00990028,0.00990028,0.00990028
34,4093.72,1.25228,0.6669,0.96386,0.88208,0.82037,0.90801,0.56565,1.24062,0.67527,0.97226,0.00989398,0.00989398,0.00989398
35,4213.14,1.25123,0.66208,0.96577,0.88448,0.82495,0.9065,0.56035,1.24474,0.70142,0.96517,0.00988748,0.00988748,0.00988748
36,4331.87,1.24204,0.65572,0.96116,0.88618,0.8196,0.90651,0.56516,1.25174,0.68608,0.97081,0.00988079,0.00988079,0.00988079
37,4452.56,1.24442,0.6543,0.95952,0.88102,0.83181,0.90836,0.56496,1.25397,0.6907,0.96867,0.00987391,0.00987391,0.00987391
38,4573.49,1.2346,0.64903,0.95861,0.88217,0.82746,0.90833,0.55898,1.25881,0.68926,0.96627,0.00986684,0.00986684,0.00986684
39,4692.59,1.2428,0.65527,0.9639,0.87821,0.83269,0.91019,0.5647,1.2375,0.67146,0.96166,0.00985958,0.00985958,0.00985958
40,4813.94,1.23363,0.65197,0.96005,0.8931,0.82037,0.90909,0.567,1.24004,0.69217,0.96957,0.00985213,0.00985213,0.00985213
41,4935.32,1.24764,0.65745,0.96528,0.88489,0.82946,0.91009,0.56742,1.24653,0.66244,0.96167,0.00984449,0.00984449,0.00984449
42,5054.98,1.2421,0.65167,0.9573,0.87969,0.833,0.91187,0.568,1.24046,0.67449,0.96654,0.00983666,0.00983666,0.00983666
43,5173.9,1.23464,0.64921,0.95969,0.87226,0.83707,0.90948,0.56552,1.2702,0.66421,0.97179,0.00982864,0.00982864,0.00982864
44,5293.49,1.23176,0.64904,0.96189,0.88451,0.82635,0.91044,0.56682,1.23963,0.65869,0.96416,0.00982043,0.00982043,0.00982043
45,5412.68,1.23104,0.64757,0.96251,0.88112,0.83645,0.91368,0.57246,1.24519,0.65815,0.96606,0.00981204,0.00981204,0.00981204
46,5531.89,1.22954,0.64686,0.95935,0.88469,0.82748,0.9102,0.5707,1.23322,0.67219,0.96461,0.00980345,0.00980345,0.00980345
47,5651.84,1.23331,0.64665,0.95763,0.88874,0.82517,0.90911,0.56852,1.24918,0.67038,0.96724,0.00979468,0.00979468,0.00979468
48,5772.62,1.22768,0.64122,0.95623,0.87991,0.83769,0.91142,0.57162,1.23976,0.65697,0.96641,0.00978572,0.00978572,0.00978572
49,5893.54,1.22376,0.64097,0.95525,0.88619,0.83073,0.91295,0.57213,1.21717,0.68064,0.95625,0.00977658,0.00977658,0.00977658
50,6014.75,1.23258,0.64763,0.95941,0.89178,0.82826,0.91477,0.57196,1.23766,0.66499,0.96655,0.00976725,0.00976725,0.00976725
51,6135.6,1.22442,0.63944,0.95625,0.88954,0.83032,0.91263,0.57277,1.23897,0.67858,0.9653,0.00975773,0.00975773,0.00975773
52,6256.88,1.22346,0.64012,0.9553,0.89056,0.82965,0.91377,0.57623,1.22954,0.66808,0.9601,0.00974803,0.00974803,0.00974803
53,6377.26,1.22338,0.64215,0.95589,0.88281,0.83845,0.91507,0.57434,1.23736,0.67199,0.9626,0.00973814,0.00973814,0.00973814
54,6497.34,1.2309,0.64224,0.95755,0.89386,0.82439,0.91491,0.57569,1.23123,0.65828,0.96319,0.00972806,0.00972806,0.00972806
55,6616.56,1.22579,0.63898,0.95647,0.89969,0.82563,0.91543,0.57722,1.24396,0.64291,0.96448,0.0097178,0.0097178,0.0097178
56,6736.15,1.21495,0.63454,0.9532,0.88662,0.83908,0.91566,0.57776,1.22797,0.62877,0.95989,0.00970736,0.00970736,0.00970736
57,6855.41,1.21361,0.63402,0.95556,0.89296,0.83243,0.91491,0.57615,1.24691,0.67622,0.96944,0.00969673,0.00969673,0.00969673
58,6975.8,1.21636,0.63619,0.95454,0.88848,0.83846,0.91657,0.57665,1.22905,0.66042,0.95972,0.00968592,0.00968592,0.00968592
59,7096.42,1.21672,0.63513,0.95512,0.8909,0.83661,0.91722,0.57596,1.22513,0.66925,0.95911,0.00967493,0.00967493,0.00967493
